date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:50	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20Dec%202019%2022:46:16%20GMT	http://advandes.com/robots.txt		(from )
13:38:51	41921/41921	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Jun%202021%2008:08:50%20GMT	http://advandes.com/	/home/a/Desktop/Advandes/advandes.com/index.html	(from )
13:38:52	5123/5123	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2008:46:16%20GMT	http://advandes.com/public/frontend/images/favicon.png	/home/a/Desktop/Advandes/advandes.com/public/frontend/images/favicon.png	(from http://advandes.com/)
13:38:54	138535/138535	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2018:35:44%20GMT	http://advandes.com/public/frontend/css/bootstrap.min.css	/home/a/Desktop/Advandes/advandes.com/public/frontend/css/bootstrap.min.css	(from http://advandes.com/)
13:38:55	18805/18805	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2011:38:39%20GMT	http://advandes.com/public/frontend/css/style.css	/home/a/Desktop/Advandes/advandes.com/public/frontend/css/style.css	(from http://advandes.com/)
13:38:57	111852/111852	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202020%2018:35:24%20GMT	http://advandes.com/public/frontend/css/hover.min.css	/home/a/Desktop/Advandes/advandes.com/public/frontend/css/hover.min.css	(from http://advandes.com/)
13:39:01	41933/41933	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Jun%202021%2008:08:59%20GMT	http://advandes.com/home	/home/a/Desktop/Advandes/advandes.com/home.html	(from http://advandes.com/)
13:39:05	4096/4096	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2008:46:16%20GMT	http://advandes.com/public/frontend/images/Advandes_white.png	/home/a/Desktop/Advandes/advandes.com/public/frontend/images/Advandes_white.png	(from http://advandes.com/)
13:39:05	39685/39685	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jan%202020%2008:46:16%20GMT	http://advandes.com/public/frontend/js/bootstrap.min.js	/home/a/Desktop/Advandes/advandes.com/public/frontend/js/bootstrap.min.js	(from http://advandes.com/)
13:39:05	41396/41396	---M-Z	200	added ('OK')	text/html	date:Fri,%2025%20Jun%202021%2008:09:03%20GMT	http://advandes.com/about	/home/a/Desktop/Advandes/advandes.com/about.html	(from http://advandes.com/)
